id,name,base_price,pillar,category,type,description
svc-svc-celebrate-096f3547,Milestone Celebration - Puppy to Adult,2999,celebrate,milestone,,Mark your puppy's transition to adulthood with a special ceremony. Includes growth photo compilation and celebration.
svc-svc-celebrate-7f1565c4,Milestone Celebration - Senior Honours,3499,celebrate,milestone,,Honour your pet's golden years with a dignified senior celebration. Gentle activities suited to their pace.
svc-svc-celebrate-b5b832db,Surprise Delivery & Moment,1999,celebrate,surprise,,"Surprise your pet parent with an unexpected celebration delivery. Perfect for birthdays, anniversaries, or just because."
svc-svc-celebrate-26caef13,Party Coordination Service,2499,celebrate,coordination,,"Full party coordination without venue booking. We handle décor, cake, invites, and guest management."
svc-svc-celebrate-68e6d5f5,Breed Day Celebration,2499,celebrate,breed-day,,Celebrate your pet's breed heritage on their official Breed Day. Connect with other breed enthusiasts and honour their lineage.
svc-svc-celebrate-da88476b,Adoption Anniversary Ritual,1999,celebrate,anniversary,,Annual ritual to celebrate the bond between you and your adopted pet. Includes donation to rescue organisations.
svc-svc-dine-2f4ace47,Nutrition Assessment & Meal Plan,1999,dine,consultation,,"Comprehensive nutrition assessment by a certified pet nutritionist. Personalised meal plan based on breed, age, and health conditions."
svc-svc-dine-44e36ece,Diet Transition Support,1499,dine,support,,Guided transition to new food with monitoring and adjustments. Ideal for switching to fresh food or managing sensitivities.
svc-svc-dine-ec77bdf1,Allergy Testing & Diet Planning,3999,dine,health,,Comprehensive food allergy testing with elimination diet planning. Identify triggers and create a safe meal plan.
svc-svc-dine-d5633fd0,Home Cooking Workshop,2499,dine,workshop,,Learn to prepare nutritious homemade meals for your pet. Hands-on workshop with recipes and tips.
svc-svc-dine-0d03dd02,Meal Prep Service - Weekly,1999,dine,meal-prep,,Weekly meal preparation and portioning service. Fresh meals prepared and delivered to your doorstep.
svc-svc-stay-6268afff,Boarding Concierge - Standard,1499,stay,boarding,,Full-service boarding coordination with our Concierge® team. We find the perfect stay based on your pet's personality.
svc-svc-stay-9a248569,Boarding Concierge - Premium,2499,stay,boarding,,"Premium boarding with luxury amenities. Private suite, spa treatment, and personalised attention."
svc-svc-stay-11abdb7a,Daycare Planning & Coordination,799,stay,daycare,,"Regular daycare scheduling and coordination. We manage bookings, transportation, and daily reports."
svc-svc-stay-0c95a0ef,Home Pet Sitter Matching,999,shop,pet-sitting,,"We match you with a vetted, compatible home pet sitter. Your pet stays in a loving home environment."
svc-svc-stay-10f6ffd7,Trial Stay Experience,499,stay,trial,,Short trial stay to help your pet adjust to boarding. Perfect for anxious pets or first-timers.
svc-svc-travel-d9c2f29d,Pet Travel Planning - Domestic,2999,travel,planning,,"Complete domestic travel planning for you and your pet. Flight/train bookings, pet-friendly stays, and itinerary."
svc-svc-travel-fbdc8657,Pet Travel Planning - International,9999,travel,planning,,"Comprehensive international travel planning including documentation, quarantine requirements, and airline coordination."
svc-svc-travel-12312229,Pet Relocation Service - Domestic,14999,shop,relocation,,End-to-end pet relocation within India. Door-to-door service with climate-controlled transport.
svc-svc-travel-3d30fbb1,Pet Relocation Service - International,49999,shop,relocation,,"Complete international pet relocation with all documentation, customs clearance, and destination delivery."
svc-svc-travel-fe9aae55,Travel Documentation Service,3999,travel,documentation,,"We handle all pet travel documentation - health certificates, import permits, and airline forms."
svc-svc-travel-7f7b4df1,Airport Assistance Service,1999,shop,assistance,,"Personal assistance at the airport for pet check-in, security, and boarding. Reduces travel stress."
svc-svc-travel-9fa70123,Pet-Friendly Destination Research,999,shop,research,,"Detailed research on pet-friendly destinations, activities, and accommodations for your trip."
svc-svc-care-391f33bc,Grooming Concierge - Full Service,1499,care,grooming,,"Premium grooming with Concierge® coordination. We book, transport, and ensure your pet's comfort throughout."
svc-svc-care-4b3a0f05,Home Grooming Service,1999,care,grooming,,Professional grooming in the comfort of your home. Less stress for anxious pets.
svc-svc-care-ab1ef415,Vet Appointment Coordination,499,care,health,,"We schedule and coordinate all vet appointments. Reminders, transport, and report collection included."
svc-svc-care-dc450729,Wellness Programme - Annual,9999,care,wellness,,"Comprehensive annual wellness programme with scheduled check-ups, vaccinations, and preventive care."
svc-svc-care-350a66bc,Senior Pet Care Programme,12999,care,senior-care,,"Specialised care programme for senior pets. Enhanced monitoring, mobility support, and comfort care."
svc-svc-care-0d344ead,Post-Surgery Care Coordination,2999,care,recovery,,"Complete post-surgery care coordination including medication management, wound care, and recovery monitoring."
svc-svc-enjoy-57ba0150,Playdate Coordination Service,799,shop,social,,We find compatible playmates and coordinate regular playdates for your social pup.
svc-svc-enjoy-a8ba8999,Social Calendar Management,1999,enjoy,social,,"Monthly social calendar with curated events, meetups, and activities for your pet."
svc-svc-enjoy-a2f999b2,Adventure Day Out,2999,enjoy,experience,,"Curated adventure day with hiking, beach visit, or nature exploration. Supervised fun for active dogs."
svc-svc-enjoy-aabd3519,Swimming Session - Pool,999,enjoy,activity,,"Supervised swimming session at a pet pool. Great exercise and fun, especially in summer."
svc-svc-enjoy-87f1504a,Pet Caf Experience,1499,enjoy,experience,,"Special outing to a pet café with treats, playtime, and socialisation. Perfect for a pawrent-pet date."
svc-svc-learn-83554778,Behaviour Assessment & Plan,2499,learn,assessment,,In-depth behaviour assessment with customised modification plan for specific issues.
svc-svc-learn-dd8da108,Private Training - Home Visit,1999,learn,training,,One-on-one training session at your home. Address specific behaviours in familiar environment.
svc-svc-learn-d6d763c9,Puppy Socialisation Programme,4999,learn,socialisation,,Structured socialisation programme for puppies during critical development period.
svc-svc-learn-185e5ed3,Reactivity Rehabilitation,8999,learn,behaviour,,Intensive programme for reactive dogs. Build confidence and change responses to triggers.
svc-svc-learn-041b71ca,Separation Anxiety Programme,5999,learn,behaviour,,Structured programme to address separation anxiety with gradual desensitisation.
svc-svc-learn-ea112dba,Canine Good Citizen Preparation,6999,learn,certification,,Preparation course for Canine Good Citizen certification. Build skills for public access.
svc-svc-paperwork-e0b6d991,Breed Registration - KCI,4999,paperwork,breed-registry,,Complete Kennel Club of India registration with pedigree documentation.
svc-svc-paperwork-28f1caa3,Pet Insurance Advisory,999,paperwork,insurance,,"Compare and select the best pet insurance based on your pet's breed, age, and health history."
svc-svc-paperwork-58af97fc,Document Organisation Service,1499,shop,organisation,,"We organise and digitise all your pet's documents in a secure, accessible format."
svc-svc-paperwork-2eeb4d14,Import/Export Permit Service,7999,paperwork,permits,,Handle all permits and documentation for international pet movement.
svc-svc-advisory-313f87f4,New Pet Parent Consultation,1499,advisory,consultation,,Comprehensive consultation for new pet parents. Everything you need to know about caring for your new family member.
svc-svc-advisory-e266850f,Breed Selection Advisory,1999,advisory,advisory,,"Expert guidance to choose the perfect breed based on your lifestyle, home, and preferences."
svc-svc-advisory-48c9949f,Second Opinion Service,999,advisory,health,,Connect with specialist vets for second opinions on diagnoses or treatment plans.
svc-svc-advisory-bf6e8f0a,End-of-Life Consultation,1499,advisory,consultation,,Compassionate guidance during your pet's final chapter. Quality of life assessment and care planning.
svc-svc-emergency-442c9ca6,Lost Pet Search & Recovery,4999,emergency,search,,"Professional search team activated within hours. Flyers, social media, and ground search."
svc-svc-emergency-7f7d140a,Pet First Aid Training,2499,travel,training,,Learn essential pet first aid skills. Certification included.
svc-svc-farewell-eb4da3dc,Rainbow Bridge Ceremony - Complete,9999,shop,ceremony,,"Dignified farewell ceremony with cremation, memorial service, and keepsakes."
svc-svc-farewell-6c595c14,At-Home Euthanasia Coordination,4999,farewell,end-of-life,,Arrange peaceful at-home euthanasia with a compassionate vet. Dignified goodbye in familiar surroundings.
svc-svc-farewell-072144bb,Memorial Planning Service,2999,farewell,memorial,,"Complete memorial planning including keepsakes, tribute video, and remembrance options."
svc-svc-farewell-81704345,Grief Support Sessions,1499,farewell,support,,Professional grief counselling for pet loss. Individual or family sessions available.
svc-svc-adopt-1d41ca6f,Foster-to-Adopt Programme,999,adopt,programme,,Trial foster period before committing to adoption. Support throughout the transition.
svc-PROD-B04D6E0B0E54,Agility Training Set,0,learn,training-equipment,,
svc-PROD-62FC20BB6710,Interactive Puzzle Feeder,0,fit,mental-fitness,,
svc-PROD-A942D09526CB,Balance Board for Dogs,0,learn,core-training,,
svc-PROD-7C422F22E055,Tug Rope - Heavy Duty,0,shop,strength,,
svc-PROD-5C48703D7A1C,Cooling Vest,0,shop,weather-gear,,
svc-PROD-6F6D84BDC0E9,Portable Water Bottle,0,shop,hydration,,
svc-PROD-A0564BEEC5EC,Pet Health Monitor,0,advisory,advisory,,
svc-PROD-A1863A58DC1B,Pheromone Calming Diffuser,0,advisory,advisory,,
svc-PROD-79B99C9EAE9F,Pet Weight Management Scale,0,advisory,advisory,,
svc-PROD-2DDF6CE64594,Senior Pet Mobility Ramp,0,advisory,advisory,,
svc-PROD-F9A3CC092F39,GPS Pet Tracker - Real Time,0,emergency,emergency,,
svc-PROD-A965615904A2,GPS Pet Tracker - Mini (Cats & Small Dogs),0,emergency,emergency,,
svc-PROD-043BC49784BC,Smart QR ID Tag - Emergency,0,emergency,emergency,,
svc-PROD-152B28DF6024,High-Visibility Reflective Vest,0,emergency,emergency,,
svc-PROD-71B4BBAC613C,Soft Emergency Muzzle Set (3 Sizes),0,emergency,emergency,,
svc-PROD-47DBD1D3E4B5,Emergency Calming Spray,0,emergency,emergency,,
svc-PROD-3E1D5C1620CF,Smart QR ID Tag,0,paperwork,paperwork,,
svc-PROD-D8983D38FF03,Digital Pet ID Card,0,paperwork,paperwork,,
svc-PROD-5B40E90BEC36,Digital Health Record Wallet,0,paperwork,paperwork,,
svc-PROD-D107BDD9357E,TDC Health File Folder,0,paperwork,paperwork,,
svc-PROD-9C95D4BDF688,Vaccination Booklet Holder,0,paperwork,paperwork,,
svc-PROD-AC067D096252,Waterproof Document Sleeve,0,paperwork,paperwork,,
svc-PROD-72C0658B94A3,Travel Document Pouch,0,paperwork,paperwork,,
svc-PROD-B2C5887FA570,Emergency Document Wallet,0,paperwork,paperwork,,
svc-PROD-6228C21DF7F2,Emergency Contact Cards (Pack of 5),0,paperwork,paperwork,,
svc-PROD-DD9E2442FCB4,Pet Insurance Document Organizer,0,paperwork,paperwork,,
svc-PROD-482BF9EC24AE,Annual Compliance Checklist,0,paperwork,paperwork,,
svc-PROD-1B2DC302D424,Smart Activity Tracker,0,fit,fit,,
svc-PROD-A938A011CBB1,Pet Weight Scale,0,fit,fit,,
svc-PROD-550F0F7BAFC7,Automatic Ball Launcher,0,fit,fit,,
svc-PROD-F74AADD1F080,Pet Treadmill,0,fit,fit,,
svc-PROD-8A93C77102D9,Swimming Safety Vest,0,fit,fit,,
svc-PROD-1ADD9E952CB3,Joint Support Supplement,0,fit,fit,,
svc-PROD-D47FAB5ABD8B,Cooling Exercise Vest,0,fit,fit,,
svc-PROD-BB71B4AAA52A,Canine Balance Board,0,fit,fit,,
svc-PROD-F19DE643DFD0,Social Butterfly Bandana,0,enjoy,enjoy,,
svc-PROD-3ED36187B10C,Cooling Vest for Outdoor Fun,0,enjoy,enjoy,,
svc-PROD-A1F794467B3C,Safety Swim Vest,0,enjoy,enjoy,,
svc-PROD-CAECA555999E,Event Day Backpack,0,enjoy,enjoy,,
svc-PROD-B3CCF01E24A5,Portable Outdoor Bed,0,enjoy,enjoy,,
svc-PROD-1E8FFC699847,Social Profile Tag,0,enjoy,enjoy,,
svc-stay-696d061f899ee8015c535faa,The Leela Goa,12000,stay,stay,,Luxury beachfront resort set amidst 75 acres of lush gardens. One of India's most pet-welcoming luxury properties with dedicated pet amenities.
svc-stay-696d061f899ee8015c535fab,W Goa,12000,stay,stay,,Trendy beachside escape with vibrant design and pet-friendly policies. Perfect for young pet parents seeking style and comfort.
svc-stay-696d061f899ee8015c535fac,Ahilya By the Sea,5000,shop,stay,,Intimate heritage property with just 8 rooms. Dogs are treated as family here with personalized care.
svc-stay-696d061f899ee8015c535fad,SUJN Jawai,12000,stay,stay,,Luxury tented camp in leopard country. One of India's most exclusive pet-friendly wilderness experiences.
svc-stay-696d061f899ee8015c535fae,Taj Lake Palace,25000,stay,stay,,Iconic floating palace on Lake Pichola. Pets are welcomed as royal guests with special arrangements.
svc-stay-696d061f899ee8015c535faf,The Oberoi Rajvilas,12000,stay,stay,,32-acre luxury resort with Rajasthani architecture. Pets are pampered with dedicated walking areas.
svc-stay-696d061f899ee8015c535fb0,CGH Earth - Coconut Lagoon,12000,stay,stay,,Eco-friendly backwater resort accessible only by boat. Pets enjoy the natural surroundings.
svc-stay-696d061f899ee8015c535fb1,Marari Beach Resort,12000,stay,stay,,Beachside eco-resort with traditional Kerala cottages. Perfect for beach-loving dogs.
svc-stay-696d061f899ee8015c535fb2,The Oberoi Cecil,5000,stay,stay,,Colonial heritage hotel with stunning mountain views. Pets enjoy the crisp mountain air.
svc-stay-696d061f899ee8015c535fb3,Wildflower Hall,12000,stay,stay,,"Former residence of Lord Kitchener at 8,250 ft. Surrounded by cedar forests perfect for pet walks."
svc-stay-696d061f899ee8015c535fb6,Della Resorts,12000,stay,stay,,Adventure resort with India's largest collection of adventure activities. Pet-friendly rooms available.
svc-stay-696d061f899ee8015c535fb7,Radisson Blu Resort & Spa Alibaug,12000,stay,stay,,Beachside resort perfect for weekend getaways from Mumbai. Pet-friendly rooms with garden access.
svc-stay-696d061f899ee8015c535fb8,Evolve Back Coorg,12000,stay,stay,,Luxury plantation resort in coffee country. Expansive grounds perfect for pets to explore.
svc-stay-696d061f899ee8015c535fb9,The Serai Kabini,12000,stay,stay,,Wildlife resort on the banks of Kabini River. Perfect for nature-loving pet families.
svc-stay-696d061f899ee8015c535fba,The Tamara Kodai,12000,stay,stay,,Boutique resort in the Palani Hills. Misty mountains and forest walks for pets.
svc-stay-696d061f899ee8015c535fbb,Taj Fisherman's Cove,12000,stay,stay,,Beachfront resort near Chennai. Pet-friendly cottages with direct beach access.
svc-stay-696d061f899ee8015c535fbc,"The Oberoi, Gurugram",5000,shop,stay,,Urban luxury hotel with pet-friendly rooms. Ideal for business travelers with pets.
svc-stay-696d061f899ee8015c535fbd,ITC Grand Bharat,12000,stay,stay,,All-suite resort spread across 100 acres. Pets enjoy the expansive grounds and golf course.
svc-stay-696d061f899ee8015c535fbe,Taj Exotica Resort & Spa,12000,stay,stay,,Island paradise with pet-friendly villas. Near Asia's best beach.
svc-stay-696d061f899ee8015c535fbf,Palais De Mahe,5000,stay,stay,,Boutique heritage hotel in French Quarter. Pet-friendly rooms with courtyard access.
svc-stay-696d061f899ee8015c535fc0,Treehouse Jaipur,5000,stay,stay,,Unique treehouse-style property with pet-friendly rooms. Great city views.
svc-stay-696d061f899ee8015c535fc1,SaffronStays Casa Del Sol,5000,stay,stay,,Private villa perfect for pet families. Fully fenced garden and pool.
svc-stay-696d061f899ee8015c535fc2,Atmantan Wellness Centre,12000,stay,stay,,Luxury wellness resort with pet-friendly options. Holistic retreat for you and your pet.
svc-stay-696d061f899ee8015c535fc3,Himalaica,5000,stay,stay,,Cozy mountain homestay with incredible views. Dogs love the apple orchards.
svc-stay-696d061f899ee8015c535fc4,Camp Wildex,12000,stay,stay,,Adventure camp by the Ganges. Perfect for active pet families.
svc-stay-696d061f899ee8015c535fc5,The Windflower Prakruthi,12000,stay,stay,,Nature resort near Bangalore airport. Great for pet staycations.
svc-stay-696d061f899ee8015c535fc6,Mahua Kothi,12000,stay,stay,,Luxury jungle lodge near tiger reserve. Pet-friendly with precautions.
svc-stay-696d061f899ee8015c535fc7,Vivanta Dal View,5000,stay,stay,,Lakeside luxury with Dal Lake views. Pet-friendly rooms with garden access.
svc-stay-696d061f899ee8015c535fc8,The Machan,12000,stay,stay,,Treehouse eco-resort in the forest. Unique experience for nature-loving pets.
svc-stay-696d061f899ee8015c535fc9,Aahana Resort,12000,stay,stay,,Nature resort at the foothills of the Himalayas. Pet-friendly with large grounds.
svc-boarding-69787d6a3fbee8a72eb13f67,Pawsome Pet Resort,1500,stay,boarding,,Luxury pet resort with spacious rooms and 24/7 vet access
svc-boarding-69787d6a3fbee8a72eb13f68,Happy Tails Boarding,800,stay,boarding,,Cozy home environment with personal attention
svc-boarding-69787d6a3fbee8a72eb13f69,Pet Paradise Delhi,1200,stay,boarding,,Luxury pet boarding with individual suites and personalized care
svc-PROD-0FFA097BFEAE,Pet-Friendly Hotel Stay,0,stay,hotel,,
svc-PROD-C856199055D2,Resort Getaway with Pets,0,shop,resort,,
svc-PROD-EDA35289A625,Private Villa Rental,0,shop,villa,,
svc-PROD-FA4435430533,Countryside Farmstay,0,stay,farmstay,,
svc-PROD-2D04300F4A79,Premium Pet Boarding,0,stay,boarding,,
svc-PROD-EA4C3657AEE4,Standard Pet Boarding,0,stay,boarding,,
svc-PROD-86D3B6F5F70D,Home-style Pet Boarding,0,stay,homestay,,
svc-PROD-D93F6220C860,Pet Daycare - Full Day,0,care,daycare,,
svc-PROD-557FA7031AB5,Pet-Friendly Cab Service,0,travel,cab,,
svc-PROD-B6C7791C00B8,Train Travel Assistance,0,travel,train,,
svc-PROD-C39634C3CEDD,Domestic Flight Coordination,0,shop,flight,,
svc-PROD-AA7BD1002E51,Pet Taxi - City Rides,0,shop,taxi,,
svc-PROD-E2B791EAA694,Bath & Brush,0,care,grooming,,
svc-PROD-2054D6966F5F,Daily Dog Walking,0,shop,walking,,
svc-PROD-03407A0BBFD4,Pet Sitting (8 Hours),0,shop,sitting,,
svc-PROD-8C21C8B5AB85,Basic Obedience Training,0,learn,training,,
svc-PROD-9ED37697CC22,Vet Consultation Booking,0,shop,vet,,
svc-PROD-1B4B9807E262,Agility Training Class,0,fit,agility,,
svc-PROD-B19A48A8F5F8,Dog Park Day Pass,0,shop,park,,
svc-PROD-DDB61969ADCC,Pet Cafe Voucher,0,shop,cafe,,
svc-PROD-750BE03D6799,Beach Day Experience,0,shop,beach,,
svc-PROD-6C40202B715E,Puppy Training Course,0,learn,puppy,,
svc-PROD-FB8A502EBBD3,Fun Tricks Workshop,0,shop,tricks,,
svc-69763578bf962b2a4806bb6c,Biodegradable Poop Bags (120 count),0,care,care,,Eco-friendly waste bags. Extra thick and leak-proof.
svc-6977d50cf1ba3c3bd6e57597,Puppy Daycare (under 1 year),0,care,daycare,,Specialized care for young puppies
svc-6977d50cf1ba3c3bd6e575bb,Weight Loss Program (4 weeks),0,shop,programs,,Structured weight management program
svc-6977d50cf1ba3c3bd6e575c5,Puppy Kindergarten (8 weeks),0,learn,training,,Foundation training for puppies
svc-697838c4fdefa8a5b3756286,Soft Emergency Muzzle Set (3 sizes),0,emergency,emergency,,Breathable mesh muzzle set for safe handling during injuries. Non-intimidating design.
svc-69787d6ab1ffb9d0ef5fe0ee,Ahilya by the Sea,0,stay,stay,,Intimate heritage property with just 8 rooms. Dogs are treated as family here with personalized care.
svc-69787d6ab1ffb9d0ef5fe127,Palais de Mahe,0,stay,stay,,Boutique heritage hotel in French Quarter. Pet-friendly rooms with courtyard access.
svc-697888da1b42203bef3270d5,Pet Resort Getaway,0,shop,resort,,Luxury resort for pets
svc-697888da1b42203bef3270f3,Pet Sitting (8 hours),0,shop,sitting,,In-home pet sitting
svc-6978936e1b42203bef327c71,Pet Adventure Day,0,shop,adventure,,Guided outdoor adventure
svc-6978936e1b42203bef327c75,Basic Grooming,0,care,basic,,Bath and brush
svc-6978936e1b42203bef327c77,Nail Trim & Filing,0,shop,nail,,Professional nail care
svc-6978936e1b42203bef327c79,Adoption Consultation,0,adopt,consultation,,Find your perfect match
svc-6978936e1b42203bef327c7d,Post-Adoption Support,0,adopt,support,,30-day support package
svc-6978936e1b42203bef327c7f,Memorial Service,0,shop,memorial,,Dignified memorial ceremony
svc-6978936e1b42203bef327c81,Private Cremation,0,shop,cremation,,Private cremation service
svc-6978936e1b42203bef327c87,Premium Reservation Service,0,shop,service,,Guaranteed pet-friendly seating
svc-6978936e1b42203bef327c8d,Premium Coverage Plan,0,shop,insurance,,Comprehensive insurance
svc-6978936e1b42203bef327c8f,Accident Only Plan,0,shop,insurance,,Accident coverage
svc-PROD-BFE3F2280142,TEST_Product_20260127163538,0,shop,,,
svc-PROD-9D6CD1ACECAA,Woof Woof Inn,0,stay,boarding,,
svc-PROD-7748FF2AE515,Pet Paradise,0,stay,boarding,,
svc-PROD-F93923E1924D,Furry Friends Haven,0,stay,boarding,,
svc-PROD-B05597A41C87,K9 Comfort Zone,0,stay,boarding,,
svc-PROD-80831CD98BC1,Doggy Daycare & Stay,0,stay,boarding,,
svc-PROD-99933649AFC7,Paws & Relax,0,stay,boarding,,
svc-PROD-731F55854916,The Barking Lot,0,stay,boarding,,
svc-PROD-77E11E436578,Snout House,0,stay,boarding,,
svc-PROD-20F63A029858,Tail Waggers Resort,0,stay,boarding,,
svc-PROD-B32A4EDECAE1,Cuddles Pet Care,0,stay,boarding,,
svc-PROD-755FEDC753C9,Canine Castle Mumbai,0,stay,boarding,,
svc-PROD-6662F741F7C7,Paws & Play Delhi,0,stay,boarding,,
svc-PROD-BA6C178F255B,The Dog Lodge Gurgaon,0,stay,boarding,,
svc-PROD-FE005F55E37A,Furry Friends Pune,0,stay,boarding,,
svc-PROD-8AAD5AB36F94,Wagging Tails Hyderabad,0,stay,boarding,,
svc-PROD-57AA27BE46AC,Pet Paradise Chennai,0,stay,boarding,,
svc-697c3ed8d9fc024950dca197,Allergy-Safe Diet Planning,0,shop,feed,,Specialized diet planning for pets with food allergies
svc-697c3ed8d9fc024950dca199,Puppy Nutrition Programme,0,shop,feed,,Age-appropriate nutrition guidance for growing puppies
svc-697c3ed8d9fc024950dca19b,Senior Pet Nutrition,0,shop,feed,,Specialized nutrition support for aging pets
svc-697c3ed8d9fc024950dca19d,Prescription Diet Coordination,0,shop,feed,,Help sourcing and managing prescription diets
svc-697c3ed8d9fc024950dca1a9,Free Insurance Quote Comparison,0,insure,insure,,Get quotes from multiple pet insurance providers - completely free
svc-697c3ed8d9fc024950dca1ab,Policy Review & Optimization,0,insure,insure,,Expert review of your current pet insurance policy
svc-697c3ed8d9fc024950dca1ad,Claim Filing Assistance,0,insure,insure,,Professional help filing and tracking insurance claims
svc-697c3ed8d9fc024950dca1af,Renewal Management Service,0,insure,insure,,Never miss a renewal with automated reminders
svc-697dbae5572fc2185da93e75,Comfort Crate for New Pets,0,adopt,adopt,,Cozy crate to help adopted pets feel safe
svc-697dbae5572fc2185da93e77,Rescue Calming Supplement,0,adopt,adopt,,Natural calming aid for anxious rescue pets
svc-697dbae5572fc2185da93e79,Orthopedic Comfort Bed,0,adopt,adopt,,Memory foam bed for senior rescues
svc-697dbae5572fc2185da93e7d,Shelter Donation Gift Card,0,adopt,adopt,,Support local shelters with a donation
svc-697dbae5572fc2185da93e7f,Dog Treadmill (Small),0,fit,fit,,Indoor exercise treadmill for small dogs
svc-697dbae5572fc2185da93e81,Weighted Vest for Dogs,0,fit,fit,,Adjustable weight vest for strength training
svc-697dbae5572fc2185da93e87,Exercise Ball Launcher,0,fit,fit,,Automatic ball launcher for fetch exercises
svc-697dbaeb572fc2185da93e9b,Squeaky Ball Set (3 pack),0,enjoy,enjoy,,Durable tennis balls with squeaker
svc-697dbaeb572fc2185da93ea1,Portable Dog Pool,0,enjoy,enjoy,,Foldable splash pool for summer fun
svc-697dbaeb572fc2185da93ea3,Party Bandana Set,0,enjoy,enjoy,,Stylish bandanas for meetups & events
svc-tdc-4e286279e18a,Professional Deshedding Brush,849.0,care,grooming,,"Stainless steel deshedding tool reduces shedding by up to 90%. Ergonomic handle, gentle on skin. For medium to large coats."
svc-tdc-f30a7b52c8c4,Gentle Oatmeal Shampoo - 500ml,549.0,care,grooming,,"Soothing oatmeal formula for sensitive skin. pH balanced, paraben-free. Leaves coat soft, shiny, and fresh-smelling."
svc-tdc-5463661d58e0,Nail Clipper & File Set,449.0,care,grooming,,"Professional-grade nail clipper with safety guard. Includes nail file and quick guide. Stainless steel, non-slip grip."
svc-tdc-e72bcd5a54e8,Paw Balm & Nose Butter Duo,699.0,care,grooming,,"Organic balm set for cracked paws and dry noses. Made with shea butter, coconut oil, and vitamin E. Safe if licked."
svc-tdc-f49554dcf585,Ear Cleaning Solution - 120ml,399.0,care,grooming,,"Gentle ear cleaner removes wax and debris. Prevents infections, reduces odor. Vet-recommended formula."
svc-travel-171532b1a134,Wahl Cargo Seat Cover for Pets,1898.0,travel,car-accessories,,"Premium cargo area seat cover to protect your car from pet hair, dirt, and scratches. Waterproof backing, machine washable. Universal fit for most SUVs and hatchbacks. Dimensions: 59x55 inches."
svc-travel-c9a35347e75a,Pet Passport & Document Holder,549.0,travel,travel-accessories,,"Organized document holder for all pet travel paperwork. Holds vaccination records, health certificates, insurance, and ID. Water-resistant material. Perfect for international travel."
svc-travel-07dae68ed728,Car Window Mesh Barrier,799.0,travel,car-accessories,,Breathable mesh barrier for car windows. Allows fresh air while preventing pets from jumping out. Easy magnetic installation. Set of 2 for front or rear windows.
svc-dine-item-f9230be5,TDC Freeze-dried Liver,349,dine,general,,Individual item from Gourmet Treats Box. Premium quality dining essential from The Doggy Company.
svc-dine-item-0229ab12,TDC Dental Chews,249,dine,general,,Individual item from Gourmet Treats Box. Premium quality dining essential from The Doggy Company.
svc-dine-item-475cda5d,TDC Photo Frame,999,dine,photo_services,,Individual item from Adoption Anniversary Special. Premium quality dining essential from The Doggy Company.
svc-dine-item-b75c8ac7,TDC Gourmet Meal,399,dine,meals,,Individual item from Puppy Date Night. Premium quality dining essential from The Doggy Company.
svc-dine-item-6910756b,TDC Dine-fresh-chicken,399,dine,general,,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company.
svc-dine-item-58a0bc3e,TDC Dine-lamb-rice,399,dine,general,,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company.
svc-dine-item-587ac910,TDC Dine-fish-omega,399,dine,general,,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company.
svc-enjoy-prod-ball,Squeaky Ball Set (3 Pack),299,enjoy,enjoy,,Durable tennis balls with squeaker
svc-travel-prod-a9ec81b2,Pet Passport Holder,399,travel,travel,,"Waterproof holder for vaccination records, health certificates, and ID tags."
svc-travel-prod-555f5c1e,Motion Sickness Relief Drops,349,travel,travel,,Natural remedy for car sickness. Give 30 mins before travel.
svc-adopt-prod-anxiety-wrap,ThunderShirt Anxiety Wrap,1899,adopt,adopt-calming,,"Pressure wrap that applies gentle, constant pressure to reduce anxiety"
svc-adopt-prod-crate-soft,Soft-Sided Comfort Crate,2499,adopt,adopt-comfort,,Cozy collapsible crate with plush lining - perfect safe space for new pets
svc-adopt-prod-hideaway,Covered Pet Hideaway Bed,1799,adopt,adopt-comfort,,Cave-style bed providing security for nervous rescues
svc-adopt-prod-orthopedic-bed,Orthopedic Memory Foam Bed,2999,adopt,adopt-comfort,,Premium memory foam bed for senior or injured rescue pets
svc-adopt-prod-snuffle-mat,Snuffle Mat for Slow Feeding,799,adopt,adopt-enrichment,,Interactive feeding mat that encourages natural foraging behavior
svc-adopt-prod-probiotic,Digestive Health Probiotic,999,adopt,adopt-health,,Probiotic supplement to help rescued pets adjust to new diet
svc-adopt-prod-immune-boost,Immune Support Supplement,1199,adopt,adopt-health,,Boost immunity during the transition period with vitamins & antioxidants
svc-adopt-prod-gentle-shampoo,Gentle Rescue Pet Shampoo,499,adopt,adopt-grooming,,"Hypoallergenic, tear-free shampoo for sensitive rescue pets"
svc-adopt-prod-guide-book,Adoption Success Handbook,449,adopt,adopt-guide,,Complete guide to helping your rescue pet adjust and thrive
svc-adopt-prod-behavior-guide,Understanding Rescue Behavior,549,adopt,adopt-guide,,Expert guide on common rescue pet behaviors and how to help
svc-adopt-prod-donation-500,Shelter Support - 500,500,adopt,adopt-donation,,Donate to local shelters and support rescue operations
svc-adopt-prod-donation-1000,Shelter Support - 1000,1000,adopt,adopt-donation,,Generous donation to help rescue more animals in need
