name,pillar,category,description,mira_whisper
Home Grooming Service,care,grooming,Professional grooming in the comfort of your home. Less stress for anxious pets.,"Professional grooming for a healthy, beautiful coat"
Vet Appointment Coordination,care,health,"We schedule and coordinate all vet appointments. Reminders, transport, and report collection include",Professional health care and prevention
Wellness Programme - Annual,care,wellness,"Comprehensive annual wellness programme with scheduled check-ups, vaccinations, and preventive care.",Professional care for your companion
Senior Pet Care Programme,care,senior-care,"Specialised care programme for senior pets. Enhanced monitoring, mobility support, and comfort care.",Professional care for your companion
Post-Surgery Care Coordination,care,recovery,"Complete post-surgery care coordination including medication management, wound care, and recovery mo",Professional care for your companion
Playdate Coordination Service,advisory,social,We find compatible playmates and coordinate regular playdates for your social pup.,Expert guidance for pet parents
Social Calendar Management,enjoy,social,"Monthly social calendar with curated events, meetups, and activities for your pet.",Curated for your companion
Adventure Day Out,enjoy,experience,"Curated adventure day with hiking, beach visit, or nature exploration. Supervised fun for active dog",Curated for your companion
Swimming Session - Pool,enjoy,activity,"Supervised swimming session at a pet pool. Great exercise and fun, especially in summer.",Low-impact exercise that dogs love
Pet Café Experience,enjoy,experience,"Special outing to a pet café with treats, playtime, and socialisation. Perfect for a pawrent-pet dat",Curated for your companion
Behaviour Assessment & Plan,learn,assessment,In-depth behaviour assessment with customised modification plan for specific issues.,Expert training and guidance
Private Training - Home Visit,learn,training,One-on-one training session at your home. Address specific behaviours in familiar environment.,Professional training to build confidence and good behavior
Puppy Socialisation Programme,learn,socialisation,Structured socialisation programme for puppies during critical development period.,Foundation training for lifelong good behavior
Reactivity Rehabilitation,learn,behaviour,Intensive programme for reactive dogs. Build confidence and change responses to triggers.,Expert training and guidance
Separation Anxiety Programme,learn,behaviour,Structured programme to address separation anxiety with gradual desensitisation.,Expert training and guidance
Canine Good Citizen Preparation,learn,certification,Preparation course for Canine Good Citizen certification. Build skills for public access.,Expert training and guidance
Breed Registration - KCI,paperwork,breed-registry,Complete Kennel Club of India registration with pedigree documentation.,Hassle-free compliance with local regulations
Pet Insurance Advisory,advisory,insurance,"Compare and select the best pet insurance based on your pet's breed, age, and health history.",Find the right coverage for your companion
Document Organisation Service,advisory,organisation,"We organise and digitise all your pet's documents in a secure, accessible format.",Expert guidance for pet parents
Import/Export Permit Service,paperwork,permits,Handle all permits and documentation for international pet movement.,Simplify pet documentation
New Pet Parent Consultation,advisory,consultation,Comprehensive consultation for new pet parents. Everything you need to know about caring for your ne,Expert guidance for your companion's needs
Breed Selection Advisory,advisory,advisory,"Expert guidance to choose the perfect breed based on your lifestyle, home, and preferences.",Expert guidance for pet parents
Second Opinion Service,care,health,Connect with specialist vets for second opinions on diagnoses or treatment plans.,Professional care for your companion
End-of-Life Consultation,advisory,consultation,Compassionate guidance during your pet's final chapter. Quality of life assessment and care planning,Expert guidance for your companion's needs
Lost Pet Search & Recovery,emergency,search,"Professional search team activated within hours. Flyers, social media, and ground search.",Help when you need it most
Pet First Aid Training,learn,training,Learn essential pet first aid skills. Certification included.,Professional training to build confidence and good behavior
Rainbow Bridge Ceremony - Complete,farewell,ceremony,"Dignified farewell ceremony with cremation, memorial service, and keepsakes.",Compassionate support during difficult times
At-Home Euthanasia Coordination,farewell,end-of-life,Arrange peaceful at-home euthanasia with a compassionate vet. Dignified goodbye in familiar surround,Compassionate support during difficult times
Memorial Planning Service,advisory,memorial,"Complete memorial planning including keepsakes, tribute video, and remembrance options.",Honor the love you shared together
Grief Support Sessions,farewell,support,Professional grief counselling for pet loss. Individual or family sessions available.,We're here for you during this difficult time
Foster-to-Adopt Programme,adopt,programme,Trial foster period before committing to adoption. Support throughout the transition.,Find your perfect companion match
Agility Training Set,learn,training-equipment,,Professional training to build confidence and good behavior
Interactive Puzzle Feeder,fit,mental-fitness,,Keep your companion healthy and active
Balance Board for Dogs,learn,core-training,,Expert training and guidance
Tug Rope - Heavy Duty,advisory,strength,,Expert guidance for pet parents
Cooling Vest,advisory,weather-gear,,Expert guidance for pet parents
Portable Water Bottle,advisory,hydration,,Expert guidance for pet parents
Pet Health Monitor,care,advisory,,Professional health monitoring and care
Pheromone Calming Diffuser,advisory,advisory,,Expert guidance for pet parents
Pet Weight Management Scale,fit,advisory,,Keep your companion healthy and active
Senior Pet Mobility Ramp,advisory,advisory,,Expert guidance for pet parents
GPS Pet Tracker - Real Time,emergency,emergency,,Help when you need it most
GPS Pet Tracker - Mini (Cats & Small Dogs),emergency,emergency,,Help when you need it most
Smart QR ID Tag - Emergency,emergency,emergency,,Expert help when you need it most
High-Visibility Reflective Vest,emergency,emergency,,Help when you need it most
Soft Emergency Muzzle Set (3 Sizes),emergency,emergency,,Expert help when you need it most
Emergency Calming Spray,emergency,emergency,,Expert help when you need it most
Smart QR ID Tag,paperwork,paperwork,,Simplify pet documentation
Digital Pet ID Card,paperwork,paperwork,,Simplify pet documentation
Digital Health Record Wallet,care,paperwork,,Professional health monitoring and care
TDC Health File Folder,care,paperwork,,Professional health monitoring and care
Vaccination Booklet Holder,paperwork,paperwork,,Keep your companion protected and healthy
Waterproof Document Sleeve,paperwork,paperwork,,Simplify pet documentation
Travel Document Pouch,travel,paperwork,,Stress-free journeys for your companion
Emergency Document Wallet,emergency,paperwork,,Expert help when you need it most
Emergency Contact Cards (Pack of 5),emergency,paperwork,,Expert help when you need it most
Pet Insurance Document Organizer,insure,paperwork,,Find the right coverage for your companion
Annual Compliance Checklist,paperwork,paperwork,,Simplify pet documentation
Smart Activity Tracker,fit,fit,,Keep your companion healthy and active
Pet Weight Scale,fit,fit,,Keep your companion healthy and active
Automatic Ball Launcher,fit,fit,,Keep your companion healthy and active
Pet Treadmill,fit,fit,,Keep your companion healthy and active
Swimming Safety Vest,fit,fit,,Low-impact exercise that dogs love
Joint Support Supplement,fit,fit,,Keep your companion healthy and active
Cooling Exercise Vest,fit,fit,,Keep your companion healthy and active
Canine Balance Board,fit,fit,,Keep your companion healthy and active
Social Butterfly Bandana,enjoy,enjoy,,Curated for your companion
Cooling Vest for Outdoor Fun,enjoy,enjoy,,Curated for your companion
Safety Swim Vest,enjoy,enjoy,,Curated for your companion
Event Day Backpack,enjoy,enjoy,,Curated for your companion
Portable Outdoor Bed,enjoy,enjoy,,Curated for your companion
Social Profile Tag,enjoy,enjoy,,Curated for your companion
The Leela Goa,stay,stay,Luxury beachfront resort set amidst 75 acres of lush gardens. One of India's most pet-welcoming luxu,"Safe, comfortable stay for your pet"
W Goa,stay,stay,Trendy beachside escape with vibrant design and pet-friendly policies. Perfect for young pet parents,"Safe, comfortable stay for your pet"
Ahilya By the Sea,advisory,stay,Intimate heritage property with just 8 rooms. Dogs are treated as family here with personalized care,Expert guidance for pet parents
SUJÁN Jawai,stay,stay,Luxury tented camp in leopard country. One of India's most exclusive pet-friendly wilderness experie,"Safe, comfortable stay for your pet"
Taj Lake Palace,stay,stay,Iconic floating palace on Lake Pichola. Pets are welcomed as royal guests with special arrangements.,"Safe, comfortable stay for your pet"
The Oberoi Rajvilas,stay,stay,32-acre luxury resort with Rajasthani architecture. Pets are pampered with dedicated walking areas.,"Safe, comfortable stay for your pet"
CGH Earth - Coconut Lagoon,stay,stay,Eco-friendly backwater resort accessible only by boat. Pets enjoy the natural surroundings.,"Safe, comfortable stay for your pet"
Marari Beach Resort,stay,stay,Beachside eco-resort with traditional Kerala cottages. Perfect for beach-loving dogs.,"Safe, comfortable stay for your pet"
The Oberoi Cecil,stay,stay,Colonial heritage hotel with stunning mountain views. Pets enjoy the crisp mountain air.,"Safe, comfortable stay for your pet"
Wildflower Hall,stay,stay,"Former residence of Lord Kitchener at 8,250 ft. Surrounded by cedar forests perfect for pet walks.","Safe, comfortable stay for your pet"
Della Resorts,stay,stay,Adventure resort with India's largest collection of adventure activities. Pet-friendly rooms availab,"Safe, comfortable stay for your pet"
Radisson Blu Resort & Spa Alibaug,care,stay,Beachside resort perfect for weekend getaways from Mumbai. Pet-friendly rooms with garden access.,Relaxation and pampering they deserve
Evolve Back Coorg,stay,stay,Luxury plantation resort in coffee country. Expansive grounds perfect for pets to explore.,"Safe, comfortable stay for your pet"
The Serai Kabini,stay,stay,Wildlife resort on the banks of Kabini River. Perfect for nature-loving pet families.,"Safe, comfortable stay for your pet"
The Tamara Kodai,stay,stay,Boutique resort in the Palani Hills. Misty mountains and forest walks for pets.,"Safe, comfortable stay for your pet"
Taj Fisherman's Cove,stay,stay,Beachfront resort near Chennai. Pet-friendly cottages with direct beach access.,"Safe, comfortable stay for your pet"
"The Oberoi, Gurugram",advisory,stay,Urban luxury hotel with pet-friendly rooms. Ideal for business travelers with pets.,Expert guidance for pet parents
ITC Grand Bharat,stay,stay,All-suite resort spread across 100 acres. Pets enjoy the expansive grounds and golf course.,"Safe, comfortable stay for your pet"
Taj Exotica Resort & Spa,care,stay,Island paradise with pet-friendly villas. Near Asia's best beach.,Relaxation and pampering they deserve
Palais De Mahe,stay,stay,Boutique heritage hotel in French Quarter. Pet-friendly rooms with courtyard access.,"Safe, comfortable stay for your pet"
Treehouse Jaipur,stay,stay,Unique treehouse-style property with pet-friendly rooms. Great city views.,"Safe, comfortable stay for your pet"
SaffronStays Casa Del Sol,stay,stay,Private villa perfect for pet families. Fully fenced garden and pool.,"Safe, comfortable stay for your pet"
Atmantan Wellness Centre,care,stay,Luxury wellness resort with pet-friendly options. Holistic retreat for you and your pet.,Professional care for your companion
Himalaica,stay,stay,Cozy mountain homestay with incredible views. Dogs love the apple orchards.,"Safe, comfortable stay for your pet"
Camp Wildex,stay,stay,Adventure camp by the Ganges. Perfect for active pet families.,"Safe, comfortable stay for your pet"
The Windflower Prakruthi,stay,stay,Nature resort near Bangalore airport. Great for pet staycations.,"Safe, comfortable stay for your pet"
Mahua Kothi,stay,stay,Luxury jungle lodge near tiger reserve. Pet-friendly with precautions.,"Safe, comfortable stay for your pet"
Vivanta Dal View,stay,stay,Lakeside luxury with Dal Lake views. Pet-friendly rooms with garden access.,"Safe, comfortable stay for your pet"
The Machan,stay,stay,Treehouse eco-resort in the forest. Unique experience for nature-loving pets.,"Safe, comfortable stay for your pet"
Aahana Resort,stay,stay,Nature resort at the foothills of the Himalayas. Pet-friendly with large grounds.,"Safe, comfortable stay for your pet"
Pawsome Pet Resort,stay,boarding,Luxury pet resort with spacious rooms and 24/7 vet access,"Safe, comfortable stay for your pet"
Happy Tails Boarding,stay,boarding,Cozy home environment with personal attention,"A safe, loving home away from home"
Pet Paradise Delhi,stay,boarding,Luxury pet boarding with individual suites and personalized care,"Safe, comfortable stay for your pet"
Pet-Friendly Hotel Stay,stay,hotel,,"Safe, comfortable stay for your pet"
Resort Getaway with Pets,stay,resort,,"Safe, comfortable stay for your pet"
Private Villa Rental,advisory,villa,,Expert guidance for pet parents
Countryside Farmstay,stay,farmstay,,"Safe, comfortable stay for your pet"
Premium Pet Boarding,stay,boarding,,"A safe, loving home away from home"
Standard Pet Boarding,stay,boarding,,"A safe, loving home away from home"
Home-style Pet Boarding,stay,homestay,,"A safe, loving home away from home"
Pet Daycare - Full Day,stay,daycare,,Supervised play and socialization
Pet-Friendly Cab Service,travel,cab,,Stress-free travel solutions
Train Travel Assistance,travel,train,,Stress-free journeys for your companion
Domestic Flight Coordination,travel,flight,,Stress-free travel solutions
Pet Taxi - City Rides,travel,taxi,,"Safe, comfortable transportation"
Bath & Brush,care,grooming,,"Refreshing bath for a clean, happy companion"
Daily Dog Walking,care,walking,,Daily exercise and mental stimulation
Pet Sitting (8 Hours),care,sitting,,Personalized care in familiar surroundings
Basic Obedience Training,learn,training,,Professional training to build confidence and good behavior
Vet Consultation Booking,care,vet,,Professional health care and prevention
Agility Training Class,learn,agility,,Professional training to build confidence and good behavior
Dog Park Day Pass,enjoy,park,,Curated for your companion
Pet Cafe Voucher,dine,cafe,,Curated for your companion
Beach Day Experience,enjoy,beach,,Curated for your companion
Puppy Training Course,learn,puppy,,Professional training to build confidence and good behavior
Fun Tricks Workshop,learn,tricks,,Expert training and guidance
Biodegradable Poop Bags (120 count),care,care,Eco-friendly waste bags. Extra thick and leak-proof.,Professional care for your companion
Puppy Daycare (under 1 year),stay,daycare,Specialized care for young puppies,Foundation training for lifelong good behavior
Weight Loss Program (4 weeks),fit,programs,Structured weight management program,Keep your companion healthy and active
Puppy Kindergarten (8 weeks),learn,training,Foundation training for puppies,Foundation training for lifelong good behavior
Soft Emergency Muzzle Set (3 sizes),emergency,emergency,Breathable mesh muzzle set for safe handling during injuries. Non-intimidating design.,Expert help when you need it most
Ahilya by the Sea,stay,stay,Intimate heritage property with just 8 rooms. Dogs are treated as family here with personalized care,"Safe, comfortable stay for your pet"
Palais de Mahe,stay,stay,Boutique heritage hotel in French Quarter. Pet-friendly rooms with courtyard access.,"Safe, comfortable stay for your pet"
Pet Resort Getaway,stay,resort,Luxury resort for pets,"Safe, comfortable stay for your pet"
Pet Sitting (8 hours),care,sitting,In-home pet sitting,Personalized care in familiar surroundings
Pet Adventure Day,advisory,adventure,Guided outdoor adventure,Expert guidance for pet parents
Basic Grooming,care,basic,Bath and brush,"Professional grooming for a healthy, beautiful coat"
Nail Trim & Filing,advisory,nail,Professional nail care,Keep paws healthy and comfortable
Adoption Consultation,advisory,consultation,Find your perfect match,Expert guidance for your companion's needs
Post-Adoption Support,adopt,support,30-day support package,Find your perfect companion match
Memorial Service,farewell,memorial,Dignified memorial ceremony,Honor the love you shared together
Private Cremation,farewell,cremation,Private cremation service,A dignified farewell for your beloved companion
Premium Reservation Service,advisory,service,Guaranteed pet-friendly seating,Expert guidance for pet parents
Premium Coverage Plan,insure,insurance,Comprehensive insurance,Curated for your companion
Accident Only Plan,insure,insurance,Accident coverage,Curated for your companion
TEST_Product_20260127163538,care,,,Professional care for your companion
Woof Woof Inn,stay,boarding,,"Safe, comfortable stay for your pet"
Pet Paradise,stay,boarding,,"Safe, comfortable stay for your pet"
Furry Friends Haven,stay,boarding,,"Safe, comfortable stay for your pet"
K9 Comfort Zone,stay,boarding,,"Safe, comfortable stay for your pet"
Doggy Daycare & Stay,stay,boarding,,Supervised play and socialization
Paws & Relax,stay,boarding,,"Safe, comfortable stay for your pet"
The Barking Lot,stay,boarding,,"Safe, comfortable stay for your pet"
Snout House,stay,boarding,,"Safe, comfortable stay for your pet"
Tail Waggers Resort,stay,boarding,,"Safe, comfortable stay for your pet"
Cuddles Pet Care,stay,boarding,,"Safe, comfortable stay for your pet"
Canine Castle Mumbai,stay,boarding,,"Safe, comfortable stay for your pet"
Paws & Play Delhi,stay,boarding,,"Safe, comfortable stay for your pet"
The Dog Lodge Gurgaon,stay,boarding,,"Safe, comfortable stay for your pet"
Furry Friends Pune,stay,boarding,,"Safe, comfortable stay for your pet"
Wagging Tails Hyderabad,stay,boarding,,"Safe, comfortable stay for your pet"
Pet Paradise Chennai,stay,boarding,,"Safe, comfortable stay for your pet"
Allergy-Safe Diet Planning,advisory,feed,Specialized diet planning for pets with food allergies,Expert guidance for pet parents
Puppy Nutrition Programme,advisory,feed,Age-appropriate nutrition guidance for growing puppies,Foundation training for lifelong good behavior
Senior Pet Nutrition,advisory,feed,Specialized nutrition support for aging pets,Personalized diet plan for optimal health
Prescription Diet Coordination,advisory,feed,Help sourcing and managing prescription diets,Expert guidance for pet parents
Free Insurance Quote Comparison,insure,insure,Get quotes from multiple pet insurance providers - completely free,Find the right coverage for your companion
Policy Review & Optimization,insure,insure,Expert review of your current pet insurance policy,Curated for your companion
Claim Filing Assistance,insure,insure,Professional help filing and tracking insurance claims,Curated for your companion
Renewal Management Service,insure,insure,Never miss a renewal with automated reminders,Curated for your companion
Comfort Crate for New Pets,adopt,adopt,Cozy crate to help adopted pets feel safe,Find your perfect companion
Rescue Calming Supplement,adopt,adopt,Natural calming aid for anxious rescue pets,Find your perfect companion
Orthopedic Comfort Bed,adopt,adopt,Memory foam bed for senior rescues,Find your perfect companion
Shelter Donation Gift Card,adopt,adopt,Support local shelters with a donation,Find your perfect companion
Dog Treadmill (Small),fit,fit,Indoor exercise treadmill for small dogs,Keep your companion healthy and active
Weighted Vest for Dogs,fit,fit,Adjustable weight vest for strength training,Keep your companion healthy and active
Exercise Ball Launcher,fit,fit,Automatic ball launcher for fetch exercises,Keep your companion healthy and active
Squeaky Ball Set (3 pack),enjoy,enjoy,Durable tennis balls with squeaker,Curated for your companion
Portable Dog Pool,enjoy,enjoy,Foldable splash pool for summer fun,Curated for your companion
Party Bandana Set,celebrate,enjoy,Stylish bandanas for meetups & events,Celebrate with your furry friend
Professional Deshedding Brush,care,grooming,"Stainless steel deshedding tool reduces shedding by up to 90%. Ergonomic handle, gentle on skin. For",Professional care for your companion
Gentle Oatmeal Shampoo - 500ml,care,grooming,"Soothing oatmeal formula for sensitive skin. pH balanced, paraben-free. Leaves coat soft, shiny, and",Professional care for your companion
Nail Clipper & File Set,care,grooming,Professional-grade nail clipper with safety guard. Includes nail file and quick guide. Stainless ste,Keep paws healthy and comfortable
Paw Balm & Nose Butter Duo,care,grooming,"Organic balm set for cracked paws and dry noses. Made with shea butter, coconut oil, and vitamin E. ",Professional care for your companion
Ear Cleaning Solution - 120ml,care,grooming,"Gentle ear cleaner removes wax and debris. Prevents infections, reduces odor. Vet-recommended formul",Professional care for your companion
Wahl Cargo Seat Cover for Pets,travel,car-accessories,"Premium cargo area seat cover to protect your car from pet hair, dirt, and scratches. Waterproof bac",Stress-free travel solutions
Pet Passport & Document Holder,travel,travel-accessories,"Organized document holder for all pet travel paperwork. Holds vaccination records, health certificat",All papers in order for worry-free travel
Car Window Mesh Barrier,travel,car-accessories,Breathable mesh barrier for car windows. Allows fresh air while preventing pets from jumping out. Ea,Stress-free travel solutions
TDC Freeze-dried Liver,dine,general,Individual item from Gourmet Treats Box. Premium quality dining essential from The Doggy Company.,Curated for your companion
TDC Dental Chews,care,general,Individual item from Gourmet Treats Box. Premium quality dining essential from The Doggy Company.,Maintain fresh breath and healthy teeth
TDC Photo Frame,dine,photo_services,Individual item from Adoption Anniversary Special. Premium quality dining essential from The Doggy C,Curated for your companion
TDC Gourmet Meal,dine,meals,Individual item from Puppy Date Night. Premium quality dining essential from The Doggy Company.,Curated for your companion
TDC Dine-fresh-chicken,dine,general,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company,Curated for your companion
TDC Dine-lamb-rice,dine,general,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company,Curated for your companion
TDC Dine-fish-omega,dine,general,Individual item from Weekly Fresh Meal Plan. Premium quality dining essential from The Doggy Company,Curated for your companion
Squeaky Ball Set (3 Pack),enjoy,enjoy,Durable tennis balls with squeaker,Curated for your companion
Pet Passport Holder,travel,travel,"Waterproof holder for vaccination records, health certificates, and ID tags.",All papers in order for worry-free travel
Motion Sickness Relief Drops,travel,travel,Natural remedy for car sickness. Give 30 mins before travel.,Stress-free travel solutions
ThunderShirt Anxiety Wrap,adopt,adopt-calming,"Pressure wrap that applies gentle, constant pressure to reduce anxiety",Find your perfect companion
Soft-Sided Comfort Crate,adopt,adopt-comfort,Cozy collapsible crate with plush lining - perfect safe space for new pets,Find your perfect companion
Covered Pet Hideaway Bed,adopt,adopt-comfort,Cave-style bed providing security for nervous rescues,Find your perfect companion
Orthopedic Memory Foam Bed,adopt,adopt-comfort,Premium memory foam bed for senior or injured rescue pets,Find your perfect companion
Snuffle Mat for Slow Feeding,adopt,adopt-enrichment,Interactive feeding mat that encourages natural foraging behavior,Find your perfect companion
Digestive Health Probiotic,care,adopt-health,Probiotic supplement to help rescued pets adjust to new diet,Professional health monitoring and care
Immune Support Supplement,care,adopt-health,Boost immunity during the transition period with vitamins & antioxidants,Professional care for your companion
Gentle Rescue Pet Shampoo,care,adopt-grooming,"Hypoallergenic, tear-free shampoo for sensitive rescue pets",Professional care for your companion
Adoption Success Handbook,adopt,adopt-guide,Complete guide to helping your rescue pet adjust and thrive,Find your perfect companion match
Understanding Rescue Behavior,learn,adopt-guide,Expert guide on common rescue pet behaviors and how to help,Expert training and guidance
Shelter Support - ₹500,adopt,adopt-donation,Donate to local shelters and support rescue operations,Find your perfect companion
Shelter Support - ₹1000,adopt,adopt-donation,Generous donation to help rescue more animals in need,Find your perfect companion
Airtight Travel Food Container,travel,travel-feeding,"3-compartment container for food, treats, and supplements - leak-proof design.",Stress-free journeys for your companion
Portable Memory Foam Travel Bed,travel,travel-comfort,"Lightweight, foldable bed with removable, washable cover - rolls up for easy packing.",Stress-free journeys for your companion
Pressure-Activated Cooling Mat,travel,travel-comfort,Self-cooling gel mat for hot weather travel - no refrigeration needed.,Stress-free travel solutions
Elevated Pet Car Seat,travel,travel-safety,Booster seat with safety tether - lets small pets see out the window safely.,Stress-free travel solutions
Travel Calming Chews,travel,travel-calming,"Soft chews with chamomile, valerian & L-theanine - 30 count.",Stress-free journeys for your companion
Motion Sickness Relief Tablets,care,travel-health,Natural anti-nausea tablets for car and air travel - 30 tablets.,Professional care for your companion
Pet Travel Document Organizer,travel,travel-docs,"Waterproof organizer for vaccination records, health certificates, and ID.",Stress-free journeys for your companion
Engraved Travel ID Tag Set,travel,travel-docs,"Set of 2 durable metal tags with name, phone & destination info.",Stress-free journeys for your companion
Agility Training Hurdle Set,learn,fit,Adjustable hurdles for backyard agility training,Professional training to build confidence and good behavior
Dog Treadmill - Compact,fit,fit,Indoor exercise treadmill for dogs up to 25kg,Keep your companion healthy and active
Swimming Vest for Dogs,fit,fit,Buoyancy vest for safe water exercise and swimming,Low-impact exercise that dogs love
Snuffle Mat - Large,fit,fit,Enrichment mat for mental stimulation during feeding,Keep your companion healthy and active
Weighted Exercise Vest,fit,fit,Adjustable weighted vest for strength training walks,Keep your companion healthy and active
Premium Car Seat for Dogs,travel,travel-safety,"Elevated car seat with safety harness attachment. Plush memory foam, waterproof base. Perfect for ro",Stress-free travel solutions
Pet Travel Bag Organizer,travel,travel-accessories,"Multi-pocket bag for all pet essentials. Fits food, treats, bowls, toys, documents. Waterproof base,",Stress-free journeys for your companion
Portable Travel Bed,travel,travel-comfort,Foldable memory foam bed with waterproof cover. Sets up in seconds. Provides familiar comfort away f,Stress-free journeys for your companion
Calming Travel Spray,care,travel-health,"Pheromone-based spray for carriers, cars, hotel rooms. Reduces travel anxiety naturally. Vet recomme",Stress-free journeys for your companion
Pet Passport Holder & Document Organizer,travel,travel-docs,"Premium holder for vaccination records, health certificates, ID tags. RFID-protected pocket for micr",All papers in order for worry-free travel
Full Spa Grooming,care,grooming,"Complete spa experience with massage, premium products","Professional grooming for a healthy, beautiful coat"
Vet Consultation,care,vet,General health checkup and consultation,Professional health care and prevention
Birthday Party - Home,celebrate,,Complete birthday planning and execution at your home,Make their special day unforgettable
Birthday Party - Venue,celebrate,,Birthday celebration at a pet-friendly venue,Make their special day unforgettable
Milestone Celebration,celebrate,,"First travel, senior years, recovery milestones",Make special moments memorable
Festive Celebration Planning,celebrate,,"Diwali, Christmas, Holi celebrations with your pet",Make special moments memorable
Surprise Coordination,celebrate,,Surprise party or gift coordination for pet parents,Make special moments memorable
Life Moment Tracking,celebrate,,"Automated reminders for birthdays, gotcha days, milestones",Make special moments memorable
Pet-Friendly Restaurant Discovery,dine,,Find the perfect restaurant that welcomes your pet,Curated for your companion
Reservation Assistance,dine,,We confirm pet acceptance and make the reservation,Curated for your companion
Dining Etiquette Guidance,dine,,Tips and training for dining out with your pet,Curated for your companion
Venue Suitability Advisory,advisory,,Breed and size suitability check for venues,Expert guidance for pet parents
Backup Dining Alternatives,dine,,Alternative options if plans change last minute,Curated for your companion
Pet-Friendly Hotel Discovery,stay,,Find hotels and resorts that welcome your pet,"Safe, comfortable stay for your pet"
Property Rule Verification,stay,,"Verify breed, size, and number restrictions","Safe, comfortable stay for your pet"
Room Suitability Advisory,advisory,,Recommend the right room type for your pet,Expert guidance for pet parents
Long-Stay Assistance,stay,,Serviced apartments and extended stay planning,"Safe, comfortable stay for your pet"
Boarding Alternatives,stay,,"When hotel stays aren't possible, we find boarding","A safe, loving home away from home"
Airline Policy Interpretation,travel,,Route-specific pet policy guidance,Stress-free travel solutions
Cabin vs Cargo Advisory,advisory,,Feasibility check based on pet size and route,Expert guidance for pet parents
Train & Road Travel Planning,travel,,Complete road trip or train journey planning,Stress-free journeys for your companion
Destination Pet Rules,travel,,Pet rules and requirements at your destination,Stress-free travel solutions
Domestic Relocation Planning,travel,,Complete domestic move with your pet,Complete relocation support
International Relocation,travel,,International move with quarantine and documentation,Complete relocation support
Transit & Handling Guidance,travel,,Airport handling and transit coordination,Stress-free travel solutions
Vet Consultation - General,care,,General health checkup and consultation,Professional health care and prevention
Vet Consultation - Specialty,care,,"Specialist consultation (dermatology, cardiology, etc.)",Professional health care and prevention
Vet Visit - Home,care,,Vet comes to your home,Professional health care and prevention
Home Grooming,care,,Groomer comes to your home,"Professional grooming for a healthy, beautiful coat"
Preventive Care Reminders,care,,"Vaccination, deworming, health check reminders",Professional care for your companion
Nutrition Guidance,care,,Non-medical diet and nutrition planning,Personalized diet plan for optimal health
Recovery Care Coordination,care,,Post-surgery or treatment care coordination,Professional care for your companion
Senior Pet Care Planning,advisory,,Comprehensive care plan for senior pets,Expert guidance for pet parents
Pet Parks Discovery,enjoy,,Find dog parks and open spaces near you,Curated for your companion
Pet Events & Experiences,enjoy,,"Pet-friendly events, meetups, experiences",Curated for your companion
Socialisation Planning,advisory,,Structured socialisation for puppies and shy dogs,Expert guidance for pet parents
Weekend Outing Planning,advisory,,Complete weekend activity plan with your pet,Expert guidance for pet parents
Dog Walking - Daily,care,,Daily dog walking service,Daily exercise and mental stimulation
Breed-Appropriate Activity Plan,fit,,Customized exercise routine for your breed,Keep your companion healthy and active
Indoor Exercise Routines,fit,,Exercise plans for apartment living,Keep your companion healthy and active
Outdoor Exercise Sessions,fit,,Guided outdoor exercise and play,Keep your companion healthy and active
Senior Mobility Planning,advisory,,Gentle exercise for senior dogs,Expert guidance for pet parents
Swimming Sessions,fit,,Hydrotherapy and recreational swimming,Low-impact exercise that dogs love
New Pet Parent Onboarding,stay,,Everything you need to know as a first-time pet parent,"A safe, loving home away from home"
Breed Education Session,learn,,Understand your breed's needs and temperament,Expert training and guidance
Puppy Transition Guidance,learn,,First 30 days with your new puppy,Foundation training for lifelong good behavior
Senior Pet Care Education,learn,,Understanding and caring for aging pets,Expert training and guidance
Behavior Understanding,learn,,Learn to read and understand your pet's behavior,Expert training and guidance
Advanced Training,learn,,Advanced commands and tricks,Professional training to build confidence and good behavior
Pet Registration Guidance,paperwork,,Help with local pet registration,Hassle-free compliance with local regulations
Microchipping Assistance,paperwork,,Microchip registration and documentation,Peace of mind if your pet ever gets lost
Licensing & Compliance,paperwork,,Local compliance and licensing guidance,Simplify pet documentation
Travel Documentation,travel,,"Pet passport, health certificates, NOCs",Stress-free journeys for your companion
Insurance Paperwork Advisory,advisory,,Help with pet insurance documentation,Find the right coverage for your companion
Adoption Documentation,paperwork,,Adoption papers and transfer documentation,Find your perfect companion match
Housing & Society Advisory,advisory,,Navigate pet rules in housing societies,Expert guidance for pet parents
Multi-Pet Household Planning,advisory,,Adding another pet to your family,Expert guidance for pet parents
Behavior Escalation Pathways,learn,,Non-clinical behavior concern guidance,Expert training and guidance
End-of-Life Preparation,advisory,,Planning for your pet's final chapter,Expert guidance for pet parents
Emergency Vet Discovery,care,,Find nearest emergency vet immediately,Professional health care and prevention
After-Hours Care Guidance,emergency,,Guidance when regular vets are closed,Help when you need it most
Accident & Poisoning Response,emergency,,Immediate guidance for emergencies,Help when you need it most
Lost Pet Response,emergency,,Coordination for lost pet recovery,Help when you need it most
Emergency Transport,travel,,Emergency pet ambulance coordination,Expert help when you need it most
Euthanasia Coordination,farewell,,Vet-guided peaceful passing,Compassionate support during difficult times
